ds,y
2024-01-01,1298.25
2024-01-02,1297.03
2024-01-03,1295.97
2024-01-04,1293.82
2024-01-05,1295.55
2024-01-08,1290.95
2024-01-09,1294.44
2024-01-10,1292.92
2024-01-11,1293.56
2024-01-12,1293.06
2024-01-15,1295.98
2024-01-16,1291.86
2024-01-17,1291.22
2024-01-18,1290.45
2024-01-19,1292.72
2024-01-22,1290.52
2024-01-23,1290.17
2024-01-24,1288.42
2024-01-25,1288.5
2024-01-26,1289.67
2024-01-29,1287.46
2024-01-30,1289.75
2024-01-31,1291.56
2024-02-01,1292.56
2024-02-02,1294.36
2024-02-05,1293.0
2024-02-06,1292.75
2024-02-07,1290.88
2024-02-08,1290.34
2024-02-09,1291.4
